Timestamp->Nilai Analog->Voltase
Detik 1
2026-07-02 19:58:14.670->810->3.959V
2026-07-02 19:58:14.960->810->3.959V
2026-07-02 19:58:15.249->810->3.959V
2026-07-02 19:58:15.539->810->3.959V
Detik 2
2026-07-02 19:58:15.828->808->3.949V
2026-07-02 19:58:16.118->807->3.944V
2026-07-02 19:58:16.409->810->3.959V
2026-07-02 19:58:16.699->807->3.944V
Detik 3
2026-07-02 19:58:16.988->812->3.969V
2026-07-02 19:58:17.278->810->3.959V
2026-07-02 19:58:17.567->810->3.959V
2026-07-02 19:58:17.856->811->3.964V
Detik 4
2026-07-02 19:58:18.145->807->3.944V
2026-07-02 19:58:18.435->811->3.964V
2026-07-02 19:58:18.725->795->3.886V
2026-07-02 19:58:19.015->803->3.925V
Detik 5
2026-07-02 19:58:19.305->814->3.978V
2026-07-02 19:58:19.594->807->3.944V
2026-07-02 19:58:19.883->812->3.969V
2026-07-02 19:58:20.172->812->3.969V
Detik 5
2026-07-02 19:58:20.461->811->3.964V
2026-07-02 19:58:20.750->811->3.964V
2026-07-02 19:58:21.039->811->3.964V
2026-07-02 19:58:21.328->807->3.944V
Detik 6
2026-07-02 19:58:21.617->812->3.969V
2026-07-02 19:58:21.907->807->3.944V
2026-07-02 19:58:22.197->806->3.939V
2026-07-02 19:58:22.486->816->3.988V
Detik 7
2026-07-02 19:58:22.775->800->3.910V
2026-07-02 19:58:23.065->806->3.939V
2026-07-02 19:58:23.353->810->3.959V
2026-07-02 19:58:23.643->804->3.930V
Detik 8
2026-07-02 19:58:23.932->802->3.920V
2026-07-02 19:58:24.221->812->3.969V
2026-07-02 19:58:24.511->815->3.983V
2026-07-02 19:58:24.801->807->3.944V
Detik 9
2026-07-02 19:58:25.091->807->3.944V
2026-07-02 19:58:25.380->811->3.964V
2026-07-02 19:58:25.669->811->3.964V
2026-07-02 19:58:25.959->807->3.944V
Detik 10
2026-07-02 19:58:26.248->811->3.964V
2026-07-02 19:58:26.537->814->3.978V
2026-07-02 19:58:26.827->809->3.954V
2026-07-02 19:58:27.117->804->3.930V
Detik 11
2026-07-02 19:58:27.406->810->3.959V
2026-07-02 19:58:27.695->819->4.003V
2026-07-02 19:58:27.984->816->3.988V
2026-07-02 19:58:28.272->391->1.911V
Detik 12
2026-07-02 19:58:28.561->299->1.461V
2026-07-02 19:58:28.850->369->1.804V
2026-07-02 19:58:29.142->890->4.350V
2026-07-02 19:58:29.434->903->4.413V
Detik 13
2026-07-02 19:58:29.727->1023->5.000V
2026-07-02 19:58:30.016->826->4.037V
2026-07-02 19:58:30.306->810->3.959V
2026-07-02 19:58:30.595->811->3.964V
Detik 14
2026-07-02 19:58:30.884->807->3.944V
2026-07-02 19:58:31.173->812->3.969V
2026-07-02 19:58:31.463->808->3.949V
2026-07-02 19:58:31.752->813->3.974V
Detik 15
2026-07-02 19:58:32.040->813->3.974V
2026-07-02 19:58:32.329->813->3.974V
2026-07-02 19:58:32.618->807->3.944V
2026-07-02 19:58:32.907->799->3.905V
Detik 16
2026-07-02 19:58:33.197->811->3.964V
2026-07-02 19:58:33.487->807->3.944V
2026-07-02 19:58:33.777->806->3.939V
2026-07-02 19:58:34.067->814->3.978V
Detik 17
2026-07-02 19:58:34.356->815->3.983V
2026-07-02 19:58:34.645->813->3.974V
2026-07-02 19:58:34.934->807->3.944V
2026-07-02 19:58:35.223->812->3.969V
Detik 18
2026-07-02 19:58:35.512->808->3.949V
2026-07-02 19:58:35.801->813->3.974V
2026-07-02 19:58:36.089->817->3.993V
2026-07-02 19:58:36.378->808->3.949V
Detik 19
2026-07-02 19:58:36.668->813->3.974V
2026-07-02 19:58:36.958->809->3.954V
2026-07-02 19:58:37.247->807->3.944V
2026-07-02 19:58:37.536->807->3.944V
Detik 20
2026-07-02 19:58:37.825->808->3.949V
2026-07-02 19:58:38.114->807->3.944V
2026-07-02 19:58:38.405->809->3.954V
2026-07-02 19:58:38.693->811->3.964V
Detik 21
2026-07-02 19:58:38.983->809->3.954V
2026-07-02 19:58:39.272->807->3.944V
2026-07-02 19:58:39.562->809->3.954V
2026-07-02 19:58:39.850->812->3.969V
Detik 22
2026-07-02 19:58:40.139->810->3.959V
2026-07-02 19:58:40.428->811->3.964V
2026-07-02 19:58:40.718->806->3.939V
2026-07-02 19:58:41.008->807->3.944V
Detik 23
2026-07-02 19:58:41.298->811->3.964V
2026-07-02 19:58:41.587->808->3.949V
2026-07-02 19:58:41.878->807->3.944V
2026-07-02 19:58:42.168->810->3.959V
Detik 24
2026-07-02 19:58:42.458->807->3.944V
2026-07-02 19:58:42.748->807->3.944V
2026-07-02 19:58:43.039->803->3.925V
2026-07-02 19:58:43.329->806->3.939V
Detik 25
2026-07-02 19:58:43.619->804->3.930V
2026-07-02 19:58:43.909->805->3.935V
2026-07-02 19:58:44.199->803->3.925V
2026-07-02 19:58:44.489->804->3.930V
Detik 26
2026-07-02 19:58:44.779->804->3.930V
2026-07-02 19:58:45.069->801->3.915V
2026-07-02 19:58:45.358->791->3.866V
2026-07-02 19:58:45.647->797->3.895V
Detik 27
2026-07-02 19:58:45.936->794->3.881V
2026-07-02 19:58:46.225->786->3.842V
2026-07-02 19:58:46.513->793->3.876V
2026-07-02 19:58:46.802->775->3.788V
Detik 28
2026-07-02 19:58:47.090->773->3.778V
2026-07-02 19:58:47.378->779->3.807V
2026-07-02 19:58:47.667->777->3.798V
2026-07-02 19:58:47.953->771->3.768V
Detik 29
2026-07-02 19:58:48.240->763->3.729V
2026-07-02 19:58:48.529->763->3.729V
2026-07-02 19:58:48.817->760->3.715V
2026-07-02 19:58:49.105->755->3.690V
Detik 30
2026-07-02 19:58:49.394->743->3.631V
2026-07-02 19:58:49.683->746->3.646V
2026-07-02 19:58:49.972->736->3.597V
2026-07-02 19:58:50.261->732->3.578V
Detik 31
2026-07-02 19:58:50.550->724->3.539V
2026-07-02 19:58:50.839->719->3.514V
2026-07-02 19:58:51.127->717->3.504V
2026-07-02 19:58:51.415->706->3.451V
Detik 32
2026-07-02 19:58:51.704->699->3.416V
2026-07-02 19:58:51.994->696->3.402V
2026-07-02 19:58:52.284->679->3.319V
2026-07-02 19:58:52.574->675->3.299V
Detik 33
2026-07-02 19:58:52.862->667->3.260V
2026-07-02 19:58:53.153->655->3.201V
2026-07-02 19:58:53.443->658->3.216V
2026-07-02 19:58:53.732->631->3.084V
Detik 34
2026-07-02 19:58:54.022->620->3.030V
2026-07-02 19:58:54.312->626->3.060V
2026-07-02 19:58:54.601->611->2.986V
2026-07-02 19:58:54.891->604->2.952V
Detik 35
2026-07-02 19:58:55.181->592->2.893V
2026-07-02 19:58:55.471->580->2.835V
2026-07-02 19:58:55.760->571->2.791V
2026-07-02 19:58:56.049->557->2.722V
Detik 36
2026-07-02 19:58:56.338->547->2.674V
2026-07-02 19:58:56.628->536->2.620V
2026-07-02 19:58:56.918->530->2.590V
2026-07-02 19:58:57.208->519->2.537V
Detik 37
2026-07-02 19:58:57.497->512->2.502V
2026-07-02 19:58:57.787->495->2.419V
2026-07-02 19:58:58.076->482->2.356V
2026-07-02 19:58:58.365->473->2.312V
Detik 38
2026-07-02 19:58:58.654->469->2.292V
2026-07-02 19:58:58.943->443->2.165V
2026-07-02 19:58:59.231->435->2.126V
2026-07-02 19:58:59.520->427->2.087V
Detik 39
2026-07-02 19:58:59.810->413->2.019V
2026-07-02 19:59:00.099->399->1.950V
2026-07-02 19:59:00.388->390->1.906V
2026-07-02 19:59:00.676->375->1.833V
Detik 40
2026-07-02 19:59:00.964->361->1.764V
2026-07-02 19:59:01.252->352->1.720V
2026-07-02 19:59:01.540->342->1.672V
2026-07-02 19:59:01.829->337->1.647V
Detik 41
2026-07-02 19:59:02.117->331->1.618V
2026-07-02 19:59:02.406->321->1.569V
2026-07-02 19:59:02.694->310->1.515V
2026-07-02 19:59:02.982->292->1.427V
2026-07-02 19:59:03.271->283->1.383V
2026-07-02 19:59:03.559->274->1.339V
2026-07-02 19:59:03.847->261->1.276V
2026-07-02 19:59:04.136->249->1.217V
2026-07-02 19:59:04.424->242->1.183V
2026-07-02 19:59:04.711->234->1.144V
2026-07-02 19:59:04.999->229->1.119V
2026-07-02 19:59:05.287->223->1.090V
2026-07-02 19:59:05.576->214->1.046V
2026-07-02 19:59:05.865->208->1.017V
2026-07-02 19:59:06.155->203->0.992V
2026-07-02 19:59:06.445->194->0.948V
2026-07-02 19:59:06.734->189->0.924V
